Timecount Esin Esind Ez
1 5.000000 -60.183441 201.487109 1338.244231
2 10.000000 -45.408063 202.483349 1205.414339
3 15.000000 -34.071086 203.316706 1144.853388
4 20.000000 -23.977593 203.914412 1113.282417
5 25.000000 -14.352395 204.351219 1092.920510
6 30.000000 -13.060425 203.286997 1077.842101
7 35.000000 -2.293180 203.541167 1067.377448
8 40.000000 7.922346 203.620693 1059.670710
9 45.000000 17.853785 203.550898 1054.621971
10 50.000000 27.640054 203.356791 1050.317807
11 55.000000 40.357057 202.224952 1026.449370
12 60.000000 50.228241 201.019562 1018.433305
13 65.000000 57.771544 199.615787 1014.635534
14 70.000000 64.221053 198.005089 1012.311220
15 75.000000 70.184491 196.371537 1010.792992
16 80.000000 75.251942 194.542380 1009.769739
17 85.000000 79.734069 192.588529 1009.029309
18 90.000000 84.560176 190.894914 1008.504623
19 95.000000 89.808707 189.426935 1008.029228
20 100.000000 95.463927 188.163273 1007.609701
21 105.000000 101.157852 186.857123 1007.316535
22 110.000000 105.816332 185.049218 1006.978012
23 115.000000 110.801144 183.370089 1006.694275
24 120.000000 116.573965 182.038744 1006.485288
25 125.000000 122.341784 180.649582 1006.299648
26 130.000000 128.464207 179.354552 1006.157375
27 135.000000 134.689060 178.008253 1006.043208
28 140.000000 140.308700 176.292112 1005.911542
29 145.000000 145.762543 174.488908 1005.775638
30 150.000000 150.624928 172.296342 1005.622300
31 155.000000 155.868873 170.359475 1005.486181
32 160.000000 160.776172 167.940563 1005.364202
33 165.000000 165.214825 165.169660 1005.232292
34 170.000000 169.313931 162.265152 1005.084957
35 175.000000 172.532669 158.637603 1004.916138
36 180.000000 176.617288 155.923511 1004.769425
37 185.000000 181.051076 153.622378 1004.632130
38 190.000000 185.523117 151.333940 1004.502681
39 195.000000 190.664496 149.752795 1004.393471
40 200.000000 195.469513 147.762473 1004.283475
41 205.000000 200.337240 145.978737 1004.171710
42 210.000000 205.422239 144.335843 1004.075639
43 215.000000 210.821197 142.956698 1003.996821
44 220.000000 216.428829 141.760583 1003.930198
45 225.000000 222.040491 140.300740 1003.882836
46 230.000000 227.462789 138.850935 1003.823047
47 235.000000 232.803138 137.409340 1003.760340
48 240.000000 238.362745 136.208462 1003.709187
49 245.000000 244.038913 135.332880 1003.654835
50 250.000000 250.050914 134.716425 1003.620059
51 255.000000 255.722853 133.710044 1003.577333
52 260.000000 261.326013 132.643070 1003.535290
53 265.000000 266.536349 131.181646 1003.481956
54 270.000000 271.445080 129.457721 1003.420066
55 275.000000 276.412114 127.824581 1003.365787
56 280.000000 281.675881 126.642720 1003.322142
57 285.000000 286.735306 125.253974 1003.274905
58 290.000000 291.792800 123.987159 1003.226554
59 295.000000 296.717373 122.705917 1003.171002
60 300.000000 301.785986 121.759082 1003.116496
61 305.000000 306.701352 120.602112 1003.062270
62 310.000000 311.623003 119.522647 1003.009325
63 315.000000 316.701288 118.616898 1002.967676
64 320.000000 321.981097 117.938253 1002.938406
65 325.000000 327.433493 117.507244 1002.916278
66 330.000000 332.729127 116.981470 1002.884756
67 335.000000 337.764439 116.085864 1002.849394
68 340.000000 342.627386 115.033503 1002.808890
69 345.000000 347.324883 113.809492 1002.765688
70 350.000000 352.299889 113.082334 1002.729633
71 355.000000 357.206727 112.236384 1002.696900
72 360.000000 362.180563 111.520803 1002.668232
73 365.000000 367.068208 110.754373 1002.636564
74 370.000000 372.000786 110.142287 1002.604509
75 375.000000 376.759638 109.410436 1002.562785
76 380.000000 381.356753 108.510392 1002.516470
77 385.000000 385.870111 107.480203 1002.473427
78 390.000000 390.496925 106.627552 1002.438402
79 395.000000 395.155598 105.816586 1002.409422
80 400.000000 399.722176 105.043605 1002.371286
81 405.000000 404.497487 104.565894 1002.343914
82 410.000000 409.291949 104.172701 1002.316035
83 415.000000 414.129456 103.848103 1002.291204
84 420.000000 419.112069 103.768505 1002.270053
85 425.000000 424.041893 103.583710 1002.249657
86 430.000000 429.083980 103.492784 1002.238287
87 435.000000 434.228907 103.473378 1002.235790
88 440.000000 439.299012 103.361161 1002.230092
89 445.000000 444.363174 103.228043 1002.225764
90 450.000000 449.295520 102.908944 1002.217940
91 455.000000 454.066244 102.441964 1002.201185
92 460.000000 458.838592 102.013771 1002.184905
93 465.000000 463.669187 101.692848 1002.171573
94 470.000000 468.671753 101.670173 1002.162207
95 475.000000 473.632349 101.555780 1002.153822
96 480.000000 478.581273 101.449010 1002.144030
97 485.000000 483.498377 101.328389 1002.131567
98 490.000000 488.275128 101.017678 1002.114381
99 495.000000 493.027472 100.701146 1002.096296
100 500.000000 497.692592 100.253263 1002.077816
101 505.000000 502.466713 99.942860 1002.067424
102 510.000000 507.183995 99.580136 1002.055062
103 515.000000 511.907799 99.272671 1002.042015
104 520.000000 516.558059 98.969754 1002.020371
105 525.000000 521.283740 98.772053 1002.003598
106 530.000000 525.999855 98.585483 1001.985955
107 535.000000 530.788242 98.509615 1001.971565
108 540.000000 535.698758 98.547844 1001.966556
109 545.000000 540.745014 98.748660 1001.968483
110 550.000000 545.821498 98.922432 1001.975377
111 555.000000 550.746511 98.905527 1001.973600
112 560.000000 555.649205 98.837194 1001.972614
113 565.000000 560.640171 98.891339 1001.975625
114 570.000000 565.582710 98.863229 1001.977481
115 575.000000 570.580455 98.916018 1001.981427
116 580.000000 575.599121 98.975534 1001.987564
117 585.000000 580.687884 99.131492 1001.996173
118 590.000000 585.650458 99.128096 1001.997329
119 595.000000 590.578412 99.122552 1001.993528
120 600.000000 595.461140 99.057807 1001.987632
121 605.000000 600.553513 99.221955 1001.995638
122 610.000000 605.700852 99.423468 1002.007756
123 615.000000 610.885862 99.686152 1002.019245
124 620.000000 616.026238 99.844055 1002.030324
125 625.000000 621.116327 99.943512 1002.037257
126 630.000000 626.185527 100.009547 1002.042937
127 635.000000 631.280267 100.133479 1002.047409
128 640.000000 636.391164 100.225584 1002.055954
129 645.000000 641.528283 100.336953 1002.066288
130 650.000000 646.575734 100.295500 1002.074298
131 655.000000 651.549822 100.220251 1002.074084
132 660.000000 656.475126 100.105640 1002.070101
133 665.000000 661.316427 99.922828 1002.059514
134 670.000000 666.213707 99.809360 1002.053376
135 675.000000 671.142813 99.739606 1002.049504
136 680.000000 676.087716 99.693126 1002.046735
137 685.000000 680.969747 99.594709 1002.038740
138 690.000000 685.920352 99.591230 1002.034471
139 695.000000 690.889171 99.629196 1002.029687
140 700.000000 695.890179 99.672080 1002.029247
141 705.000000 700.905918 99.727188 1002.029783
142 710.000000 705.930114 99.776763 1002.031675
143 715.000000 710.912365 99.743343 1002.033386
144 720.000000 715.880662 99.705854 1002.033487
145 725.000000 720.819878 99.642411 1002.031417
146 730.000000 725.731255 99.553287 1002.027545
147 735.000000 730.629269 99.435930 1002.024590
148 740.000000 735.503963 99.322005 1002.018553
149 745.000000 740.317401 99.152239 1002.008264
150 750.000000 745.191925 99.075653 1002.001331
151 755.000000 750.104936 99.061540 1001.995963
152 760.000000 755.040257 99.080128 1001.991552
153 765.000000 760.015435 99.126688 1001.991064
154 770.000000 764.981005 99.159438 1001.989807
155 775.000000 770.006721 99.258306 1001.992448
156 780.000000 775.050772 99.362440 1001.996823
157 785.000000 780.093202 99.443059 1002.002081
158 790.000000 785.192854 99.584272 1002.010872
159 795.000000 790.310914 99.709296 1002.022899
160 800.000000 795.395370 99.797914 1002.031531
161 805.000000 800.464423 99.870065 1002.038333
162 810.000000 805.508613 99.907932 1002.043404
163 815.000000 810.521174 99.906103 1002.046370
164 820.000000 815.625818 100.010244 1002.055424
165 825.000000 820.768431 100.169263 1002.065196
166 830.000000 825.920126 100.326557 1002.075317
167 835.000000 831.038938 100.421810 1002.084050
168 840.000000 836.113994 100.475394 1002.088360
169 845.000000 841.187453 100.522187 1002.092549
170 850.000000 846.291110 100.596677 1002.098970
171 855.000000 851.357578 100.616964 1002.103290
172 860.000000 856.365702 100.554216 1002.104922
173 865.000000 861.345266 100.448307 1002.106051
174 870.000000 866.308234 100.365586 1002.103304
175 875.000000 871.271093 100.315114 1002.098442
176 880.000000 876.253093 100.301725 1002.093979
177 885.000000 881.254795 100.303217 1002.091621
178 890.000000 886.278384 100.325282 1002.091119
179 895.000000 891.297320 100.342052 1002.090115
180 900.000000 896.337872 100.398312 1002.089157
181 905.000000 901.363381 100.420262 1002.088190
182 910.000000 906.430061 100.466153 1002.091853
183 915.000000 911.490146 100.484893 1002.096392
184 920.000000 916.537574 100.492133 1002.099653
185 925.000000 921.595389 100.517800 1002.102996
186 930.000000 926.675265 100.575353 1002.107057
187 935.000000 931.728666 100.596578 1002.109355
188 940.000000 936.812339 100.656884 1002.113159
189 945.000000 941.916447 100.733211 1002.118507
190 950.000000 947.009005 100.800492 1002.122059
191 955.000000 952.109052 100.857411 1002.127216
192 960.000000 957.196816 100.900642 1002.131019
193 965.000000 962.283103 100.929852 1002.135437
194 970.000000 967.369488 100.953164 1002.140145
195 975.000000 972.447843 100.970803 1002.143797
196 980.000000 977.532470 101.006000 1002.146822
197 985.000000 982.659256 101.077030 1002.153555
198 990.000000 987.779289 101.146818 1002.158656
199 995.000000 992.884087 101.199402 1002.162095
200 1000.000000 997.999656 101.259773 1002.166232
201 1005.000000 1003.116263 101.313920 1002.170584
202 1010.000000 1008.206751 101.329360 1002.173445
203 1015.000000 1013.315229 101.360767 1002.177826
204 1020.000000 1018.423340 101.387716 1002.182276
205 1025.000000 1023.526618 101.405219 1002.186509
206 1030.000000 1028.626290 101.423168 1002.189940
207 1035.000000 1033.711788 101.436336 1002.191225
208 1040.000000 1038.768862 101.418385 1002.190296
209 1045.000000 1043.820784 101.393067 1002.189288
210 1050.000000 1048.860857 101.361210 1002.187049
211 1055.000000 1053.885978 101.315755 1002.183728
212 1060.000000 1058.951540 101.311455 1002.184065
213 1065.000000 1063.987180 101.280099 1002.181721
214 1070.000000 1069.008105 101.236360 1002.178219
215 1075.000000 1074.012149 101.177404 1002.173546
216 1080.000000 1078.988264 101.095455 1002.166627
217 1085.000000 1083.959638 101.017964 1002.159196
218 1090.000000 1088.934955 100.943839 1002.152803
219 1095.000000 1093.941938 100.912085 1002.148716
220 1100.000000 1098.945273 100.877667 1002.144516
221 1105.000000 1103.932678 100.822879 1002.139683
222 1110.000000 1108.937628 100.808669 1002.134723
223 1115.000000 1113.973859 100.825313 1002.132521
224 1120.000000 1119.009159 100.835391 1002.130603
225 1125.000000 1124.021273 100.811179 1002.127660
226 1130.000000 1129.033183 100.777975 1002.125683
227 1135.000000 1134.041574 100.740712 1002.123745
228 1140.000000 1139.054699 100.708465 1002.122495
229 1145.000000 1144.049185 100.669204 1002.118939
230 1150.000000 1149.052819 100.641282 1002.116285
231 1155.000000 1154.070011 100.621595 1002.115474
